                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93468,                0.70872,                 1.0047,                0.98309,                0.83333,                0.83916,                0.51162,                 1.2616,                0.91029,                0.99382,               0.006634,               0.006634,               0.006634
                     36,                0.86211,                0.67467,                0.98416,                0.98215,                0.83333,                0.94167,                0.56333,                 1.3898,                0.74819,                 1.1068,               0.006535,               0.006535,               0.006535
                     37,                0.86871,                0.68299,                 0.9865,                0.97297,                0.83333,                  0.955,                0.53248,                 1.4131,                0.82956,                 1.0999,               0.006436,               0.006436,               0.006436
                     38,                0.95174,                0.69854,                 1.0316,                0.99858,                0.83333,                0.86597,                0.58141,                 1.3229,                  1.001,                 1.0934,               0.006337,               0.006337,               0.006337
                     39,                0.94883,                0.71151,                 1.0164,                0.68598,                0.83333,                0.77786,                0.51416,                 1.1453,                0.99478,                0.97746,               0.006238,               0.006238,               0.006238
                     40,                0.91489,                0.65206,                 1.0071,                0.84916,                      1,                0.90071,                0.60817,                 1.2825,                0.88939,                 1.1231,               0.006139,               0.006139,               0.006139
                     41,                0.88867,                0.63578,                0.99695,                0.97585,                0.83333,                0.89147,                0.58063,                 1.2738,                 1.1431,                 1.0664,                0.00604,                0.00604,                0.00604
                     42,                0.86852,                0.64711,                0.99376,                 0.9703,                0.83333,                0.94167,                0.58518,                 1.3772,                 1.0309,                 1.2408,               0.005941,               0.005941,               0.005941
                     43,                0.88392,                 0.6215,                 0.9796,                      1,                0.98215,                  0.995,                0.61774,                 1.2708,                0.82267,                 1.0659,               0.005842,               0.005842,               0.005842
                     44,                0.83693,                0.62224,                0.97026,                0.98271,                0.83333,                0.90357,                0.57962,                 1.0589,                 1.0543,                0.92965,               0.005743,               0.005743,               0.005743
                     45,                0.85871,                 0.6212,                0.96626,                0.85487,                0.98412,                0.97214,                0.62558,                0.95009,                 0.6239,                0.91728,               0.005644,               0.005644,               0.005644
                     46,                0.81448,                 0.6066,                0.96978,                0.97793,                0.83333,                0.92227,                0.62081,                 1.0145,                0.72727,                 1.0563,               0.005545,               0.005545,               0.005545
                     47,                0.85263,                0.62671,                 0.9834,                0.97864,                      1,                  0.995,                0.67238,                0.95087,                0.60964,                0.97267,               0.005446,               0.005446,               0.005446
                     48,                0.87257,                0.59533,                0.97808,                0.98239,                0.83333,                0.97214,                0.60506,                 1.0809,                0.69804,                 1.0409,               0.005347,               0.005347,               0.005347
                     49,                0.82819,                0.58688,                0.97666,                0.98084,                0.83333,                0.90885,                0.65533,                0.84928,                0.68681,                0.86407,               0.005248,               0.005248,               0.005248
                     50,                0.86323,                0.59971,                0.98234,                0.98189,                0.83333,                0.94167,                0.61895,                 1.0169,                0.65746,                 0.8899,               0.005149,               0.005149,               0.005149
                     51,                0.82728,                0.58565,                   0.96,                0.98581,                0.83333,                0.84023,                0.45456,                 1.4143,                0.82281,                 1.0994,                0.00505,                0.00505,                0.00505
                     52,                0.78999,                0.56623,                0.95168,                      1,                0.97759,                  0.995,                0.47415,                 1.3396,                0.69754,                 1.0556,               0.004951,               0.004951,               0.004951
                     53,                0.87411,                0.59872,                0.98433,                0.95703,                      1,                  0.995,                0.39461,                 1.5906,                  1.101,                  1.103,               0.004852,               0.004852,               0.004852
                     54,                0.83279,                0.57297,                0.96681,                0.98275,                      1,                  0.995,                0.47966,                 1.5126,                0.68021,                 1.0979,               0.004753,               0.004753,               0.004753
                     55,                0.83618,                0.58715,                0.98658,                0.98068,                0.83333,                0.97214,                0.58106,                 1.3146,                0.81127,                 1.0407,               0.004654,               0.004654,               0.004654
                     56,                0.79283,                0.54506,                0.96055,                      1,                0.98998,                  0.995,                0.55169,                 1.4072,                0.65022,                  1.144,               0.004555,               0.004555,               0.004555
                     57,                0.81214,                0.55815,                0.95322,                      1,                0.98907,                  0.995,                0.57383,                 1.3694,                0.72214,                 1.0552,               0.004456,               0.004456,               0.004456
                     58,                0.80201,                0.53932,                0.94014,                0.84647,                      1,                0.97214,                0.49368,                 1.3313,                0.72462,                 1.0278,               0.004357,               0.004357,               0.004357
                     59,                  0.785,                0.52424,                0.94106,                0.83191,                      1,                0.94786,                 0.5937,                 1.0545,                0.75333,                0.88565,               0.004258,               0.004258,               0.004258
                     60,                0.78553,                0.54739,                0.95105,                0.98387,                      1,                  0.995,                0.70298,                0.97185,                0.51021,                0.90297,               0.004159,               0.004159,               0.004159
                     61,                0.76123,                0.51515,                0.94981,                      1,                0.98198,                  0.995,                0.67618,                0.92463,                0.56975,                0.89201,                0.00406,                0.00406,                0.00406
                     62,                0.81063,                0.52702,                0.94163,                0.99911,                      1,                  0.995,                0.60706,                 1.0345,                0.72224,                0.94984,               0.003961,               0.003961,               0.003961
                     63,                0.76092,                0.51464,                0.95479,                 0.9573,                      1,                  0.995,                0.69354,                 1.0212,                0.59609,                 0.9267,               0.003862,               0.003862,               0.003862
                     64,                0.76036,                0.50096,                0.93013,                0.98279,                      1,                  0.995,                0.70881,                0.93853,                0.61113,                0.91984,               0.003763,               0.003763,               0.003763
                     65,                0.79298,                0.51557,                0.93516,                0.98627,                      1,                  0.995,                 0.6954,                0.92583,                0.59664,                0.90984,               0.003664,               0.003664,               0.003664
                     66,                0.72084,                 0.4936,                0.93581,                0.99106,                      1,                  0.995,                0.60442,                 1.0879,                0.72027,                0.95196,               0.003565,               0.003565,               0.003565
                     67,                 0.7781,                0.49937,                 0.9514,                0.99032,                      1,                  0.995,                0.61274,                 1.0678,                0.56469,                0.94881,               0.003466,               0.003466,               0.003466
                     68,                0.71678,                0.48432,                0.91681,                0.99083,                      1,                  0.995,                0.71037,                0.92425,                0.53574,                0.89496,               0.003367,               0.003367,               0.003367
                     69,                0.71711,                0.47154,                0.93912,                0.98782,                      1,                  0.995,                0.74026,                0.91935,                0.53892,                0.89369,               0.003268,               0.003268,               0.003268
                     70,                0.71861,                0.47924,                0.93695,                0.99011,                      1,                  0.995,                 0.6648,                0.97374,                0.54323,                0.87233,               0.003169,               0.003169,               0.003169
                     71,                0.70288,                0.47559,                0.91988,                0.98969,                      1,                  0.995,                0.72061,                 1.0052,                 0.5399,                0.89243,                0.00307,                0.00307,                0.00307
                     72,                0.73314,                 0.4611,                0.94014,                0.98874,                      1,                  0.995,                0.72386,                0.91202,                0.52803,                 0.8808,               0.002971,               0.002971,               0.002971
                     73,                0.73453,                0.48029,                0.91963,                0.95845,                      1,                  0.995,                0.73831,                0.86104,                0.53329,                0.87861,               0.002872,               0.002872,               0.002872
                     74,                0.70544,                0.48067,                0.91677,                 0.9856,                      1,                  0.995,                 0.6584,                  0.971,                0.53269,                0.89858,               0.002773,               0.002773,               0.002773
                     75,                0.71511,                0.47438,                0.92334,                      1,                0.94142,                  0.995,                0.70621,                0.92244,                0.50479,                 0.8907,               0.002674,               0.002674,               0.002674
                     76,                0.71274,                0.46765,                0.92233,                0.98393,                      1,                  0.995,                0.70113,                0.93983,                0.51131,                0.89666,               0.002575,               0.002575,               0.002575
                     77,                0.72707,                0.46122,                0.92291,                0.97301,                      1,                  0.995,                0.58076,                 1.0562,                0.61392,                0.90668,               0.002476,               0.002476,               0.002476
                     78,                0.66697,                0.44196,                0.91511,                0.99178,                      1,                  0.995,                0.62903,                0.93455,                0.46974,                0.87378,               0.002377,               0.002377,               0.002377
                     79,                0.68847,                0.45331,                0.89628,                  0.992,                      1,                  0.995,                0.68165,                 1.0088,                0.47912,                0.90073,               0.002278,               0.002278,               0.002278
                     80,                0.66585,                0.44014,                0.89809,                0.99118,                      1,                  0.995,                0.67735,                 1.1343,                0.54935,                 0.9759,               0.002179,               0.002179,               0.002179
                     81,                 0.6703,                0.43194,                0.91762,                 0.9923,                      1,                  0.995,                0.65502,                  1.137,                0.53727,                0.97164,                0.00208,                0.00208,                0.00208
                     82,                0.67093,                0.43395,                0.90655,                0.99069,                      1,                  0.995,                0.59714,                 1.1768,                0.51689,                0.97192,               0.001981,               0.001981,               0.001981
                     83,                0.65319,                 0.4202,                0.90841,                0.98895,                      1,                  0.995,                0.59802,                 1.1704,                0.50136,                0.95396,               0.001882,               0.001882,               0.001882
                     84,                0.63958,                 0.4264,                0.89136,                0.99023,                      1,                  0.995,                0.62219,                0.87974,                0.45531,                 0.8669,               0.001783,               0.001783,               0.001783
                     85,                0.67019,                0.43501,                0.90356,                0.98576,                      1,                  0.995,                0.62251,                0.96082,                0.43484,                0.89606,               0.001684,               0.001684,               0.001684
                     86,                 0.6621,                0.40762,                0.90758,                0.96759,                0.83333,                  0.931,                0.60188,                 1.0973,                  0.532,                0.94996,               0.001585,               0.001585,               0.001585
                     87,                0.63335,                0.41088,                0.88587,                0.99009,                      1,                  0.995,                0.50897,                 1.0961,                0.59015,                0.91898,               0.001486,               0.001486,               0.001486
                     88,                0.60576,                0.39649,                0.88017,                0.98908,                      1,                  0.995,                0.56257,                 1.0486,                0.52698,                0.90422,               0.001387,               0.001387,               0.001387
                     89,                0.62389,                0.39631,                0.89716,                0.99032,                      1,                  0.995,                0.61294,                  1.086,                0.48643,                0.91443,               0.001288,               0.001288,               0.001288
                     90,                0.62197,                0.40283,                0.90933,                0.99008,                      1,                  0.995,                0.59926,                 1.0651,                0.50701,                0.91928,               0.001189,               0.001189,               0.001189
                     91,                0.64781,                0.41494,                0.89889,                 0.9891,                      1,                  0.995,                 0.6183,                0.99911,                0.52451,                0.89918,                0.00109,                0.00109,                0.00109
                     92,                 0.6259,                0.41576,                 0.8982,                0.98922,                      1,                  0.995,                0.65971,                0.99203,                0.53609,                0.89333,               0.000991,               0.000991,               0.000991
                     93,                0.65877,                0.40998,                0.90654,                0.99052,                      1,                  0.995,                0.66486,                 1.0428,                0.52909,                 0.9179,               0.000892,               0.000892,               0.000892
                     94,                0.62568,                0.39054,                0.90052,                0.99058,                      1,                  0.995,                0.63663,                 1.0644,                0.54062,                0.92765,               0.000793,               0.000793,               0.000793
                     95,                0.61613,                0.40594,                0.90375,                0.99092,                      1,                  0.995,                0.60893,                 1.1031,                0.53845,                0.93981,               0.000694,               0.000694,               0.000694
                     96,                0.61379,                0.39654,                0.89336,                0.99051,                      1,                  0.995,                0.57303,                 1.0712,                0.54189,                0.92498,               0.000595,               0.000595,               0.000595
                     97,                0.58852,                0.38763,                0.89128,                0.99068,                      1,                  0.995,                0.56044,                 1.0989,                0.56794,                0.93529,               0.000496,               0.000496,               0.000496
                     98,                0.60863,                0.39149,                0.88076,                0.99017,                      1,                  0.995,                 0.5657,                 1.1596,                0.58555,                0.94667,               0.000397,               0.000397,               0.000397
                     99,                0.59005,                0.37983,                0.88631,                0.99037,                      1,                  0.995,                0.56513,                 1.1084,                0.57515,                0.92669,               0.000298,               0.000298,               0.000298
